[36.0, 244.0, 0.0, 0.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 0.0, 0.0, 1.0, 0.0]
[32.0, 228.0, -15.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 1.0, 0.0, 2.0, 0.0]
[32.0, 213.0, -14.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 3.0, 0.0, 3.0, 0.0]
[32.0, 199.0, -13.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 6.0, 0.0, 4.0, 0.0]
[32.0, 186.0, -12.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 10.0, 0.0, 5.0, 0.0]
[32.0, 174.0, -11.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 15.0, 0.0, 6.0, 0.0]
[32.0, 163.0, -10.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 21.0, 0.0, 7.0, 0.0]
[32.0, 153.0, -9.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 28.0, 0.0, 8.0, 0.0]
[32.0, 144.0, -8.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 36.0, 0.0, 9.0, 0.0]
[32.0, 136.0, -7.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 45.0, 0.0, 10.0, 0.0]
[32.0, 129.0, -6.0, 1.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 55.0, 0.0, 11.0, 0.0]
[32.0, 123.0, -5.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 66.0, 0.0, 12.0, 0.0]
[32.0, 118.0, -4.0, 2.0, 0.0, 0.0, 396.0, 244.0, 0.0, 0.0, 0.0, 0.0, 56.0, 78.0, 0.0, 13.0, 0.0]
[32.0, 114.0, -3.0, 2.0, 0.0, 0.0, 396.0, 228.0, -15.0, 1.0, 0.0, 0.0, 56.0, 91.0, 10.0, -30.0, 1.0]
